         1         2         3         4         5         
12345678901234567890123456789012345678901234567890123456789
-----------------------------------------------------------
LABEL           |RA        |Dec        |Mag |C|PMRA |PMDEC|
-----------------------------------------------------------
48Ome And         21.9141666+45.40666666 4.83F5+0.351-0.107
SAO37227          21.8608333+41.10055555 6.46A7+0.003-0.001
SAO09895          21.7229166 +3.53527777 6.58B9+0.004-0.035
SAO48381          21.2720833-64.36944444 5.93K5+0.023-0.019
47 Cet            21.7150000-13.05666666 5.66F0+0.016+0.009
SAO37234          21.9458333+40.33555555 6.60A0+0.015-0.019
SAO93122          21.7420833-32.54305555 5.79C6-0.011-0.031
1Alp UMi          37.9529166+89.26416666 2.02F7+0.038-0.015
SAO47819          21.9441666-10.90166666 6.13K4+0.180+0.019
SAO09907          22.0954166 +7.96138888 6.20K1+0.112-0.003
38 Cas            22.8075000+70.26472222 5.81F6+0.137-0.077
SAO11788          22.7179166+66.09805555 6.14A2+0.084-0.010
Gam Phe           22.0912500-43.31833333 3.41M0-0.014-0.209
49 And            22.5258333+47.00722222 5.27K0+0.008-0.044
SAO93136          22.1804166-33.76361111 6.58F0-0.055-0.025
97 Psc            22.4704166+18.35555555 6.02A4+0.063-0.003
48 Cet            22.4004166-21.62944444 5.12A1+0.056+0.006
98Mu Psc          22.5462500 +6.14388888 4.84K4+0.294-0.048
SAO15525          22.3766666-46.75638888 6.31M2-0.012+0.013
SAO67093          22.5954166-26.20777777 5.93K4+0.045+0.002
99Eta Psc         22.8708333+15.34583333 3.62G7+0.028-0.006
SAO54762          23.0316666+34.80000000 6.39B7-0.008-0.002
SAO22389          23.3575000+58.32750000 5.70K0+0.011+0.002
Del Phe           22.8129166-49.07277777 3.95K0+0.142+0.151
SAO93163          22.9304166-30.28333333 5.82K0+0.009-0.067
39Chi Cas         23.4829166+59.23194444 4.71G9-0.037-0.021
SAO15539          22.9129166-45.57555555 6.17A2 0.000+0.006
SAO29363          23.2645833 -9.01472222 6.59A0+0.029+0.003
SAO93173          23.2333333-36.86527777 5.51K0+0.002-0.023
SAO54788          23.5691666+37.23722222 5.88B9+0.009-0.015
SAO15547          23.1512500-49.72777777 6.28F4-0.030-0.077
SAO29371          23.4287500 -7.02527777 5.76G2+0.180-0.081
SAO4448           24.3437500+74.30083333 6.58B9+0.027-0.009
SAO92520          23.7045833+18.46055555 5.89M2+0.033-0.069
49 Cet            23.6575000-15.67611111 5.63A3+0.096+0.003
SAO37344          23.9687500+41.07638888 6.38K1+0.139-0.002
SAO93188          23.7112500-31.89222222 6.12K0-0.077-0.036
SAO37351          24.1133333+48.72277777 5.92K1-0.012-0.017
101 Psc           23.9433333+14.66138888 6.22B9+0.004-0.011
40 Cas            24.6287500+73.04000000 5.28G8-0.013-0.015
SAO92531          23.9783333+17.43361111 5.80F0+0.152+0.010
50Ups And         24.1991666+41.40555555 4.09F8-0.171-0.382
50 Cet            23.9958333-15.40027777 5.42K2+0.023+0.011
SAO32470          23.8133333-58.13944444 6.01F2+0.277-0.035
SAO22456          24.5316666+57.97750000 5.56G5+0.007-0.006
Tau Scl           24.0350000-29.90750000 5.69F2+0.100+0.040
102Pi Psc         24.2745833+12.14166666 5.57F0-0.066+0.043
51 And            24.4983333+48.62833333 3.57K3+0.065-0.113
SAO37393          24.6320833+45.40000000 6.36B9-0.034+0.014
SAO29412          24.4070833 -9.40388888 6.24F7+0.259+0.093
SAO55794          23.4133333-78.50472222 6.11K0-0.034-0.136
SAO32477          24.1866666-58.27083333 6.18M3+0.022+0.003
52Chi And         24.8375000+44.38611111 4.98G8-0.022+0.012
SAO22493          25.0545833+53.86833333 6.39K5-0.011-0.002
SAO93224          24.6141666-36.52833333 5.94K0-0.018-0.128
Alp Eri           24.4287500-57.23666666 0.46B3+0.095-0.035
SAO67198          24.7158333-21.27527777 5.58A4+0.131+0.036
SAO67199          24.7083333-25.02194444 6.70B9+0.001+0.011
105 Psc           24.9200000+16.40583333 5.97K2+0.077-0.015
SAO37419          25.1658333+43.29777777 5.61A9+0.127-0.037
53Tau And         25.1450000+40.57694444 4.94B8+0.013-0.025
43 Cas            25.5854166+68.04305555 5.59A0+0.052-0.009
SAO32483          24.7008333-53.43888888 6.84F5-0.027-0.046
42 Cas            25.7329166+70.62250000 5.18B9+0.077-0.013
SAO11920          25.5125000+61.03833333 6.71B8+0.015-0.007
SAO22520          25.5741666+58.62777777 6.37B8+0.019-0.010
SAO37434          25.4466666+42.61361111 4.95G1+0.809-0.154
SAO74870          25.3266666+25.74583333 6.17F2+0.118-0.040
SAO74872          25.4133333+30.04722222 5.99K0-0.015-0.006
SAO32492          24.9475000-56.19805555 5.87K0+0.310-0.020
SAO32490          24.9491666-56.19472222 5.76K5+0.279+0.020
SAO11931          25.7433333+61.42166666 6.34B7+0.004+0.011
106Nu Psc         25.3579166 +5.48750000 4.44K3-0.021+0.002
SAO54912          25.5145833+35.24555555 5.64B9+0.049-0.028
44 Cas            25.8320833+60.55111111 5.78B8+0.008-0.020
SAO47962          25.4362500-11.32472222 5.75F5+0.043-0.412
107 Psc           25.6241666+20.26861111 5.24K1-0.296-0.672
SAO93255          25.3637500-38.13305555 6.17F2+0.050+0.052
SAO37460          25.8187500+45.32222222 6.34K2+0.146-0.017
Phi Per           25.9150000+50.68861111 4.07B2+0.026-0.014
Pi Scl            25.5358333-32.32694444 5.25K0-0.065-0.025
SAO93261          25.5125000-36.83250000 5.72A1-0.028-0.021
SAO22566          26.0745833+57.53638888 6.21A3+0.039-0.040
SAO29465          25.6812500 -3.69027777 4.99K3-0.007-0.032
SAO32497          25.4212500-50.03888888 6.64A3-0.023-0.020
SAO22578          26.1920833+57.08916666 6.25A2+0.014-0.004
SAO54939          25.9583333+32.19166666 6.34G8-0.022-0.007
SAO37475          26.1104166+46.13972222 6.35K5-0.009-0.028
SAO48421          25.4500000-60.78944444 5.71K2+0.015-0.041
SAO32501          25.6220833-53.74055555 5.52F9+0.171-0.093
SAO29477          25.9783333 -4.76555555 6.19K0-0.020-0.032
109 Psc           26.2325000+20.08305555 6.27G3-0.041-0.109
52Tau Cet         26.0170833-15.93750000 3.50G8-1.718+0.856
110Omi Psc        26.3483333 +9.15777777 4.26G8+0.073+0.048
SAO11983          26.9366666+63.85222222 5.63K0+0.582-0.255
SAO58271          24.4816666-82.97500000 5.87G2+0.119+0.120
SAO29490          26.4970833 -5.73333333 5.34K4-0.007-0.033
Eps Scl           26.4116666-25.05250000 5.31F1+0.162-0.057
SAO92622          26.6470833+17.41305555 6.55A9+0.053+0.011
Tau1Hyi           25.3387500-79.14833333 6.33G6+0.052+0.009
SAO67279          26.5041666-27.34916666 6.39F2+0.095-0.052
SAO37513          26.9500000+46.22972222 6.32F6+0.014-0.056
SAO32519          26.5241666-50.81638888 5.49M3+0.034-0.024
SAO32520          26.5262500-53.52194444 5.04A1+0.127+0.056
SAO54991          27.1620833+37.95277777 5.94K0+0.112-0.029
4 Ari             27.0454166+16.95555555 5.84B9+0.053-0.036
SAO54994          27.1733333+32.69027777 5.79F8-0.167+0.298
SAO15650          26.8200000-41.76000000 6.18K5+0.024+0.042
SAO58273          24.3666666-84.76972222 5.69G8+0.034+0.021
SAO37536          27.3154166+47.89694444 5.82A3-0.010-0.002
SAO10138          27.1083333 +3.68555555 5.91G9-0.006+0.017
SAO93303          26.9491666-37.15972222 6.32K0+0.008+0.011
SAO22678          27.7379166+51.93333333 5.90F5+0.041-0.120
1 Ari             27.5354166+22.27527777 5.86K1-0.017-0.008
53Chi Cet         27.3962500-10.68638888 4.67F3-0.146-0.093
SAO93320          27.3312500-31.07277777 6.34K2+0.101-0.026
1 Per             27.9970833+55.14750000 5.52B1+0.014-0.008
SAO92659          27.7166666+11.04333333 5.94F2-0.070-0.027
SAO93326          27.4533333-38.40388888 6.37F8-0.003+0.233
2 Per             28.0391666+50.79277777 5.79B9+0.017-0.026
SAO15673          27.5841666-47.81638888 6.14K1+0.124+0.051
SAO22705          28.2116666+51.47472222 6.26A3-0.011-0.009
55Zet Cet         27.8650000-10.33500000 3.73K0+0.041-0.039
SAO22716          28.4520833+55.59805555 6.45A5+0.049+0.001
SAO32542          27.7270833-50.20611111 5.94A1-0.042-0.003
45Eps Cas         28.5987500+63.67000000 3.38B3+0.032-0.021
55 And            28.3220833+40.72972222 5.40K1-0.010-0.006
2Alp Tri          28.2704166+29.57888888 3.41F6+0.011-0.235
5Gam1Ari          28.3825000+19.29583333 4.83B9+0.078-0.112
5Gam2Ari          28.3825000+19.29361111 4.75A1+0.079-0.104
SAO48078          28.2170833-16.92916666 5.80F0+0.042-0.053
46Ome Cas         2900000000+68.68527777 4.99B8+0.013-0.011
111Xi Psc         28.3887500 +3.18750000 4.62K0+0.022+0.023
Tau2Hyi           26.9437500-80.17666666 6.06F0-0.074-0.071
SAO37607          28.7241666+40.70194444 6.24K2+0.047-0.066
SAO55082          28.7395833+37.12833333 6.26K0+0.021-0.010
6Bet Ari          28.6600000+20.80805555 2.64A5+0.096-0.111
SAO93368          28.3466666-38.59472222 6.10K1+0.131+0.027
Psi Phe           28.4116666-46.30250000 4.41M4-0.086-0.087
SAO55102          28.9766666+37.27777777 5.89M0+0.004-0.003
56 And            29.0387500+37.25166666 5.67K0+0.182+0.006
Phi Phe           28.5916666-42.49694444 5.11A3-0.028-0.032
7 Ari             28.9625000+23.57722222 5.74K1+0.009-0.013
SAO10235          28.9741666 +1.84972222 6.01F7+0.158+0.184
SAO12065          29.6387500+61.69805555 6.02B5+0.014-0.008
SAO37653          29.4850000+41.69444444 6.78B8+0.012-0.014
8Iot Ari          29.3379166+17.81750000 5.10K1+0.037-0.018
SAO75048          29.4325000+27.80444444 5.82M2+0.026-0.058
56 Cet            29.1675000-22.52694444 4.85K4+0.062-0.029
Chi Eri           28.9895833-51.60888888 3.70G8+0.681+0.292
SAO12076          29.9083333+64.62138888 5.26A0+0.033-0.020
3 Per             29.6400000+49.20416666 5.69K0+0.010+0.038
9Lam Ari          29.4820833+23.59611111 4.79F0-0.090-0.013
Eta2Hyi           28.7337500-67.64722222 4.69G8+0.074+0.074
SAO48464          28.9433333-60.86138888 6.06F0+0.004+0.056
SAO4555           30.7383333+77.91638888 6.04K0-0.004-0.002
SAO32581          29.2504166-51.76611111 6.10F6+0.359+0.248
SAO15715          29.2916666-47.38500000 4.83G8+0.103+0.016
48 Cas            30.4891666+70.90694444 4.54A3-0.067+0.004
SAO93422          29.6112500-33.06666666 6.35K0+0.008-0.020
SAO75077          29.8987500+21.05833333 5.87K0+0.139-0.022
SAO92739          29.8579166+12.29472222 6.09A6+0.008-0.042
SAO4559           30.7937500+73.85055555 6.23A5-0.029-0.005
50 Cas            30.8587500+72.42138888 3.98A2-0.045+0.022
47 Cas            31.2808333+77.28138888 5.38F0+0.125-0.056
112 Psc           30.0383333 +3.09722222 5.88G2+0.231-0.251
57 Cet            29.9420833-20.82444444 5.41M1+0.008+0.019
SAO48472          29.4733333-65.42472222 6.37G8-0.010-0.013
59Ups Cet         30.0012500-21.07777777 4.00M0+0.135-0.024
52 Cas            30.7195833+64.90138888 6.00A1-0.002-0.015
SAO29624          30.1120833 -8.52361111 5.51M3+0.096-0.010
SAO15726          29.9116666-42.03055555 5.57K1-0.054-0.103
53 Cas            30.7512500+64.39000000 5.58B8+0.005-0.005
4 Per             30.5754166+54.48750000 5.04B8+0.035-0.002
Alp Hyi           29.6925000-61.56972222 2.86F0+0.264+0.027
49 Cas            31.3800000+76.11500000 5.22G8-0.022-0.021
Sig Hyi           28.9604166-78.34833333 6.16F5+0.096+0.060
Pi For            30.3112500-30.00166666 5.35G5-0.104-0.109
113Alp Psc        30.5116666 +2.76361111 5.23A3+0.033-0.005
113Alp Psc        30.5116666 +2.76361111 4.33A0+0.033-0.005
SAO344            32.3554166+81.29583333 6.05A1-0.036+0.006
SAO12105          31.1670833+65.10333333 6.52A0+0.051-0.032
3Eps Tri          30.7416666+33.28388888 5.50A2-0.016-0.013
SAO48476          29.9212500-66.06638888 6.10K1+0.032+0.006
SAO92763          30.6466666+13.47666666 5.94M2+0.016-0.010
Chi Phe           30.4266666-44.71361111 5.14K5-0.028-0.053
57Gam1And         30.9750000+42.32972222 2.26K3+0.045-0.052
57Gam2And         30.9779166+42.33083333 4.84B8+0.037-0.055
10 Ari            30.9137500+25.93555555 5.63F8+0.134+0.022
SAO67511          30.6170833-29.66500000 6.42A3-0.033+0.027
60 Cet            30.7987500 +0.12833333 5.43A5+0.079+0.017
SAO48170          30.7441666-15.30583333 5.86G3+0.028+0.011
SAO92774          30.9275000+18.25333333 6.21K4-0.007-0.018
61 Cet            30.9508333 -0.34027777 5.93G5+0.079-0.046
SAO29665          30.9187500 -4.10361111 5.62K5+0.006-0.068
Nu For            31.1225000-29.29694444 4.69B9+0.012+0.008
12Kap Ari         31.6412500+22.64833333 5.03A2+0.018-0.035
SAO10337          31.5512500 +8.24750000 6.31M2-0.005-0.036
11 Ari            31.7050000+25.70472222 6.15B9+0.017-0.011
SAO29695          31.6220833 +0.03500000 6.28K0+0.064-0.010
13Alp Ari         31.7933333+23.46250000 2.00K2+0.190-0.148
SAO22959          32.1687500+58.42361111 5.67A1-0.011+0.003
SAO37794          32.1400000+44.45944444 6.42G8+0.016-0.051
58 And            32.1220833+37.85916666 4.82A5+0.157-0.044
SAO22993          32.5325000+53.84305555 6.31G8+0.027-0.043
4Bet Tri          32.3858333+34.98722222 3.00A5+0.150-0.040
14 Ari            32.3554166+25.93972222 4.98F2+0.075-0.039
SAO92810          32.3462500+17.22444444 6.43F5+0.142-0.181
SAO48237          32.1904166-17.77944444 6.10M2-0.002-0.032
SAO4599           33.3383333+74.02777777 6.29G8+0.048-0.037
5 Per             32.8708333+57.64583333 6.36B5-0.013+0.005
59 And            32.7200000+39.03944444 5.63B9-0.015-0.018
59 And            32.7237500+39.04305555 6.10A1-0.009-0.026
SAO67599          32.3950000-24.34583333 6.48F4-0.027-0.044
15 Ari            32.6566666+19.50027777 5.70M3+0.088-0.028
SAO15785          32.2887500-43.51666666 5.85K1-0.048-0.053
16 Ari            32.8000000+25.93694444 6.02K4-0.007-0.010
5 Tri             32.8541666+31.52638888 6.23A1+0.035-0.013
64 Cet            32.8379166 +8.56972222 5.63G0-0.139-0.112
SAO15794          32.5204166-43.81555555 6.32G8+0.059-0.009
SAO32658          32.6066666-50.82444444 6.12K1+2.119+0.641
SAO48262          32.8425000-10.05222222 6.01F5-0.022-0.166
63 Cet            32.8991666 -1.82527777 5.93G9-0.008-0.031
55 Cas            33.6212500+66.52444444 6.07G0-0.006-0.006
SAO23044          33.4229166+58.56111111 6.44A3-0.012+0.020
6 Tri             33.0929166+30.30305555 4.94G5-0.064-0.063
60 And            33.3054166+44.23166666 4.83K3-0.020-0.016
SAO75203          33.1562500+24.16777777 5.96K0+0.041-0.006
SAO23047          33.4012500+51.06583333 5.31G8+0.346-0.171
17Eta Ari         33.2004166+21.21083333 5.27F5+0.161+0.003
SAO37878          33.5108333+47.48416666 6.06F4-0.063-0.059
19 Ari            33.2637500+15.27972222 5.71M0+0.097-0.023
65Xi 1Cet         33.2500000 +8.84666666 4.37G6-0.022-0.009
66 Cet            33.1979166 -2.39361111 5.54F8+0.370-0.069
SAO67637          33.2537500-21.00027777 5.86G9+0.050+0.035
Mu For            33.2270833-30.72388888 5.28B9+0.018+0.006
SAO37905          33.9912500+47.81138888 6.33G9+0.062-0.071
SAO23115          34.2154166+57.05527777 6.48B1+0.001-0.002
7 Tri             33.9841666+33.35888888 5.28A0-0.017-0.038
20 Ari            33.9416666+25.78305555 5.79F6+0.176-0.063
21 Ari            33.9283333+25.04305555 5.58F6-0.088-0.087
SAO29781          33.8679166 -9.46555555 6.55A0-0.003+0.031
SAO15831          33.6333333-41.16666666 5.91G8-0.013-0.028
8Del Tri          34.2633333+34.22416666 4.87G0+1.154-0.245
8 Per             34.4995833+57.89972222 5.75K3+0.063+0.005
7 Per             34.5187500+57.51666666 5.98G7-0.019+0.006
SAO               34.3891666+44.30694444 6.7 M7+0.041+0.083
9Gam Tri          34.3287500+33.84722222 4.01A1+0.047-0.051
SAO75262          34.2933333+23.76777777 6.55G9-0.033-0.039
67 Cet            34.2458333 -6.42222222 5.51G8+0.093-0.108
Pi 1Hyi           33.5612500-67.84166666 5.55M1+0.037+0.037
SAO12226          35.0537500+64.33722222 6.60B9-0.019+0.018
22The Ari         34.5312500+19.90111111 5.62A1-0.013-0.002
62 And            34.8200000+47.38000000 5.30A1-0.059-0.008
SAO37947          34.7954166+46.47250000 6.21A4-0.014-0.009
SAO10456          34.5058333 +1.75777777 5.58G0+0.368+0.369
SAO37949          34.8445833+48.95527777 6.37F4-0.093+0.068
Phi Eri           34.1275000-51.51222222 3.56B8+0.096-0.027
10 Tri            34.7375000+28.64250000 5.03A2+0.011-0.006
SAO75277          34.7416666+23.16777777 6.46A1 0.000-0.005
SAO55453          34.9054166+39.83500000 6.63B8+0.033-0.010
Pi 2Hyi           33.8687500-67.74638888 5.69K2+0.035-0.016
SAO37955          35.1725000+47.31083333 6.11B5+0.007-0.007
SAO75287          35.0183333+30.18833333 6.47K0+0.016-0.023
68Omi Cet         34.8362500 -2.97750000 3.04M7-0.008-0.237
63 And            35.2425000+50.15138888 5.59B9+0.034-0.027
SAO67697          34.7437500-25.94555555 6.34G5-0.214+0.448
SAO29830          34.9200000 -4.34555555 6.50A3+0.041+0.005
9 Per             35.5891666+55.84555555 5.17A2-0.002-0.002
SAO15860          34.8529166-41.84833333 6.37K2+0.009+0.023
SAO37986          35.7095833+41.39638888 5.82F0-0.077-0.096
SAO32717          34.9762500-55.94472222 5.81K5+0.026+0.020
69 Cet            35.4858333 +0.39583333 5.28M2-0.013-0.007
SAO23283          35.9658333+55.36444444 6.28F7+0.006-0.024
70 Cet            35.5516666 -0.88500000 5.42F0-0.019-0.048
SAO48354          35.5058333-10.77777777 5.46F0+0.140-0.085
SAO48356          35.5208333-17.66222222 5.87K0+0.011-0.060
64 And            36.1037500+50.00666666 5.19G8+0.024-0.039
Kap For           35.6358333-23.81638888 5.20G0+0.200-0.062
10 Per            36.3166666+56.61000000 6.25B2-0.002+0.008
SAO48366          35.7408333-18.35444444 6.22G5+0.149-0.109
SAO15878          35.5491666-43.20000000 6.31K0+0.064+0.035
65 And            36.4058333+50.27861111 4.71K4+0.027-0.010
SAO93679          35.7770833-37.57638888 6.53K2-0.014-0.037
SAO32736          35.7275000-51.09222222 5.92A5+0.022+0.061
24Xi Ari          36.2041666+10.61055555 5.47B7+0.020-0.017
SAO67757          36.0837500-25.84750000 6.44K3+0.036+0.013
71 Cet            36.2433333 -2.78000000 6.33A0-0.001-0.007
Del Hyi           35.4370833-68.65944444 4.09A3-0.050+0.002
SAO15892          36.1408333-40.84055555 6.18G2+0.222+0.111
Iot Cas           37.2666666+67.40250000 4.52A5-0.017+0.011
72Rho Cet         36.4875000-12.29055555 4.89B9-0.010-0.009
66 And            36.9658333+50.56972222 6.12F4+0.036-0.093
SAO48386          36.5012500-15.34111111 5.83A6-0.058-0.047
SAO75370          36.7791666+27.01333333 6.18K5-0.055-0.065
11 Tri            36.8654166+31.80138888 5.54K1-0.027-0.028
SAO67795          36.6466666-20.04277777 5.88K2+0.088+0.099
Lam Hor           36.2245833-60.31194444 5.35F2-0.068-0.133
Kap Hyi           35.7179166-73.64583333 5.01K1-0.083+0.010
SAO23369          37.3541666+55.53638888 6.51A2+0.033-0.010
12 Tri            37.0416666+29.66944444 5.29F0-0.015-0.087
73Xi 2Cet         37.0395833 +8.46000000 4.28B9+0.040-0.009
SAO10542          3700000000 +1.96083333 6.45K0-0.002-0.012
13 Tri            37.2020833+29.93194444 5.89G0-0.069+0.074
Kap Eri           36.7462500-47.70388888 4.25B5+0.023-0.010
SAO48556          36.3595833-66.49472222 6.41M5-0.029-0.019
SAO75398          37.3066666+23.46888888 6.19A5+0.081-0.028
Phi For           37.0070833-33.81111111 5.14A2+0.020+0.007
SAO10565          37.3970833 +9.56583333 6.07K2-0.012+0.012
SAO55611          37.5691666+33.83388888 6.25K1+0.070-0.057
SAO93727          37.1475000-31.10250000 6.11K2-0.034-0.019
SAO75407          37.6350000+25.23500000 5.92F6+0.066-0.078
26 Ari            37.6600000+19.85527777 6.15A9+0.078-0.033
SAO67832          37.4808333-22.68277777 6.77A9+0.077+0.006
27 Ari            37.7266666+17.70388888 6.23G5+0.031-0.084
SAO10583          37.6883333 +0.25527777 6.00A7-0.053-0.071
SAO67837          37.5575000-25.18638888 6.51A9+0.090+0.031
SAO48567          37.0183333-64.29972222 6.37A0+0.037+0.001
SAO67839          37.6366666-22.54555555 6.10M1+0.008-0.033
14 Tri            38.0258333+36.14722222 5.15K5+0.046+0.012
SAO10589          37.8754166 +2.26722222 5.25K3+0.027-0.004
SAO55650          38.2187500+34.54250000 5.83K0-0.066-0.012
75 Cet            38.0391666 -1.03500000 5.35G3-0.026-0.037
76Sig Cet         38.0216666-15.24472222 4.75F4-0.070-0.120
29 Ari            38.2254166+15.03472222 6.04F8-0.028+0.037
SAO93759          38.0616666-36.42750000 6.30G8+0.065+0.009
SAO4694           39.5083333+72.81833333 5.16G8-0.030+0.016
Lam1For           38.2791666-34.65000000 5.90K0-0.015-0.020
SAO67878          38.4175000-20.00194444 6.21K0-0.041-0.079
SAO55680          38.8662500+39.66444444 6.36B9+0.026-0.026
SAO12361          39.4004166+65.74555555 5.78K5+0.042-0.005
SAO55684          38.9116666+37.31222222 5.71K3+0.004-0.009
Ome For           38.4612500-28.23250000 4.90B9-0.019-0.013
15 Tri            38.9450000+34.68750000 5.35M3+0.030-0.049
